Iconoclastic - প্রচলিত বিশ্বাস বা প্রতিষ্ঠিত ধারণা বিরোধী
Ideologue - মতবাদ প্রচারক, আদর্শবাদী
Idiosyncratic - বিশেষ স্বভাবজাত, ব্যতিক্রমধর্মী
Illusory - ভ্রান্তিপূর্ণ, বিভ্রান্তিকর
Imbroglio - জটিল অবস্থা, বিশৃঙ্খলা
Immaculate - একেবারে নিখুঁত, কলঙ্কহীন
Imminent - আসন্ন, নিকটবর্তী
Immure - আবদ্ধ করা, অন্তরীণ করা
Immutable - অপরিবর্তনীয়, ধ্রুব
Impair - দুর্বল করা, ক্ষতিগ্রস্ত করা
Impede - বাধা সৃষ্টি করা, প্রতিহত করা
Impediment - বাধা, প্রতিবন্ধকতা
Impenetrable - অভেদ্য, অনধিগম্য
Imperative - অত্যাবশ্যক, জরুরি
Imperious - উদ্ধত, ক্ষমতাবান
Impertinent - ঔদ্ধত্যপূর্ণ, বেয়াদব
Imperturbable - নির্বিকার, শান্ত
Impervious - অভেদ্য, অনতিক্রম্য
Impetuous - ত্বরিত, আবেগপ্রবণ
Implacable - অনমনীয়, কঠোর
Implicit - অন্তর্নিহিত, মৌনসাক্ষ্যপ্রাপ্ত
Impolitic - অবিবেচক, কূটনৈতিক দূরদর্শিতাহীন
Improvise - তাৎক্ষণিকভাবে প্রস্তুত করা, উদ্ভাবন করা
Impudent - নির্লজ্জ, ধৃষ্ট
Impugn - সন্দেহ প্রকাশ করা, বিরোধিতা করা
Impulsive - আবেগপ্রবণ, হঠকারী
Inalienable - অপরিহার্য, হস্তান্তরযোগ্য নয়
Inborn - জন্মগত, সহজাত
Incendiary - উস্কানিমূলক, দাহ্য
Incessant - অবিরাম, নিরবচ্ছিন্ন
Inchoate - অপূর্ণাঙ্গ, প্রাথমিক স্তরে
Incidental - আনুষঙ্গিক, সামান্য
Incite - উস্কানি দেওয়া, প্ররোচিত করা
Inclined - ঝোঁকযুক্ত, প্রবণ
Incongruous - বেমানান, অসংগতিপূর্ণ
Incontrovertible - অখণ্ডনীয়, অবিসংবাদিত
Incredulous - অবিশ্বাসী, সন্দেহপ্রবণ
Indecorous - শালীনতাবর্জিত, অসৌজন্যমূলক
Indefatigable - অক্লান্ত, অবিশ্রান্ত
Indefinite - অনির্দিষ্ট, অস্পষ্ট
Indictment - অভিযুক্তকরণ, আনুষ্ঠানিক অভিযোগ
Indignant - ক্রুদ্ধ, অসন্তুষ্ট
Indiscriminate - নির্বিচারে, যথেচ্ছাচার
Indispensable - অপরিহার্য, অনিবার্য
Indolent - অলস, কর্মবিমুখ
Induce - প্ররোচিত করা, উত্সাহিত করা
Indulgent - প্রশ্রয়শীল, মোলায়েম
Industrious - পরিশ্রমী, উদ্যোগী
Ineluctable - অপরিহার্য, অবধারিত
Inept - অযোগ্য, অপটু
Infelicity - বেমানানতা, অনুপযুক্ততা
Inform - অবহিত করা, জানানো
Ingenious - উদ্ভাবনক্ষম, বুদ্ধিদীপ্ত
Ingenuous - সৎ ও সরল, অকপট
Ingrained - মজ্জাগত, গভীরভাবে প্রোথিত
Inhibit - বাধা দেওয়া, দমিয়ে রাখা
Inimical - শত্রুভাবাপন্ন, প্রতিকূল
Innocuous - ক্ষতি করে না এমন, নির্দোষ
Inquisitive - অনুসন্ধিৎসু, প্রশ্নপ্রবণ
Inscrutable - দুর্বোধ্য, রহস্যময়
Insidious - প্রতারণাপূর্ণ, ছদ্মবেশী
Insipid - বিবর্ণ, স্বাদহীন
Insolent - উদ্ধত, বেয়াদব
Insular - সংকীর্ণমনা, বিচ্ছিন্ন
Intelligible - বোধগম্য, স্পষ্ট
Interchangeable - বিনিময়যোগ্য, প্রতিস্থাপনযোগ্য
Intermediary - মধ্যস্থ, মধ্যবর্তী
Interminable - অন্তহীন, দীর্ঘায়িত
Intermittent - থেমে থেমে হওয়া, পর্যায়ক্রমিক
Intertwined - জড়ানো, আন্তঃসংযুক্ত
Intimate - ঘনিষ্ঠ, অন্তরঙ্গ
Intransigent - একগুঁয়ে, অনমনীয়
Intrepid - নির্ভীক, সাহসী
Intrigue - ষড়যন্ত্র করা, কৌতূহল সৃষ্টি করা
Intrinsic - অন্তর্নিহিত, স্বতঃসিদ্ধ
Intuitive - অন্তর্দৃষ্টিসম্পন্ন, স্বাভাবিকভাবে উপলব্ধ
Inundate - প্লাবিত করা, ভাসিয়ে দেওয়া
Invasive - অনধিকারমূলক, আক্রমণাত্মক
Inveigle - প্রতারণা করে জয় করা, প্রলোভন দেখানো
Inveterate - পাকা, দৃঢ়ভাবে স্থাপিত
Invidious - হিংসাত্মক, বিদ্বেষপূর্ণ
Invigorate - পুনরুজ্জীবিত করা, শক্তি যোগানো
Inviolate - অক্ষুণ্ণ, পবিত্র
Irascible - খিটখিটে, সহজেই রেগে যায়
Ire - ক্রোধ, রাগ
Irksome - বিরক্তিকর, কষ্টকর
Ironclad - কঠোর, অপরিবর্তনীয়
Irresolute - অস্থিরচিত্ত, দ্বিধাগ্রস্ত
Irreverent - অসম্মানজনক, অবমাননাকর
Itinerant - ঘুরে বেড়ানো, ভবঘুরে
