Hackneyed - বহুলব্যবহৃত, গতানুগতিক
Hamper - বাধা দেওয়া, প্রতিবন্ধকতা সৃষ্টি করা
Haphazard - এলোমেলো, বিশৃঙ্খল
Hapless - দুর্ভাগা, ভাগ্যহীন
Harangue - জ্বালাময়ী বক্তৃতা, দীর্ঘ ও উত্তেজনাপূর্ণ ভাষণ
Harbinger - পূর্বলক্ষণ, আগমনের পূর্বসঙ্কেত
Harrowing - হৃদয়বিদারক, বেদনাদায়ক
Haughty - উদ্ধত, অহংকারী
Headstrong - একগুঁয়ে, অবাধ্য
Heady - ঝোঁকপ্রবণ, উত্তেজনাপূর্ণ
Heed - মনোযোগ দেওয়া, সতর্ক থাকা
Heterodox - প্রচলিত মতের বিরুদ্ধ, মতভেদী
Heterogeneous - বৈচিত্র্যময়, অমিশ্র
Hidebound - সংকীর্ণমনা, রক্ষণশীল
Hinder - বাধা দেওয়া, প্রগতি রোধ করা
Histrionic - নাটকীয়, অভিনয়মূলক
Hoc (Ad hoc) - বিশেষ উদ্দেশ্যে গঠিত, সাময়িক
Hodgepodge - খিচুড়ি, মিশ্রণ
Homogeneous - সমজাতীয়, একরকম
Humdrum - একঘেয়ে, বিরক্তিকর
Hyperbole - অতিরঞ্জন, বাড়িয়ে বলা
Hypocrite - ভণ্ড, এক মুখে দুই কথা বলা ব্যক্তি
Hysterical - উন্মত্ত, আবেগপ্রবণ
