Tacit - নীরব, অভ্যন্তরীণভাবে অনুমোদিত
Taciturn - নিঃশব্দ, কম কথা বলা
Tact - কৌশল, বিবেচনা
Tangential - পার্শ্ববর্তী, সম্পর্কহীন
Tangible - স্পষ্ট, স্পর্শযোগ্য
Tantalizing - উত্তেজনাপূর্ণ, লোভনীয়
Tantamount - সমান, পরিমাণে সমতুল্য
Tarnish - দাগ দেওয়া, মলিন করা
Tedious - বিরক্তিকর, একঘেয়েমি
Temerity - সাহসিকতা, অবহেলা
Temper - মেজাজ, গায়ের রঙ
Tempestuous - ঝড়ো, উত্তেজনাপূর্ণ
Temporal - সাময়িক, দুনিয়াদার
Tenable - প্রতিরোধযোগ্য, স্থায়ী
Tendentious - পক্ষপাতদুষ্ট, পক্ষগ্রহণকারী
Tentative - অস্থায়ী, পরীক্ষামূলক
Tenuous - দুর্বল, অনিশ্চিত
Tepid - ম্লান, উষ্ণ
Terse - সংক্ষিপ্ত, সংক্ষিপ্ত ও স্পষ্ট
Thorough - সম্পূর্ণ, যত্নশীল
Timorous - ভীত, শঙ্কিত
Tirade - দীর্ঘ বক্তৃতা, তীব্র অভিযোগ
Token - চিহ্ন, প্রতিনিধিত্বকারী
Torpor - অলসতা, মন্দাভাব
Tortuous - জটিল, প্যাঁচানো
Tout - প্রচার করা, বিজ্ঞাপন করা
Tractable - সহজে নিয়ন্ত্রণযোগ্য, নমনীয়
Tranquil - শান্ত, প্রশান্ত
Transcend - অতিক্রম করা, পার হওয়া
Transgression - লঙ্ঘন, অপরাধ
Transient - অস্থায়ী, সাময়িক
Transitory - সাময়িক, অস্থায়ী
Treatise - গ্রন্থ, বিস্তারিত আলোচনা
Trenchant - তীক্ষ্ণ, স্পষ্ট
Trifling - তুচ্ছ, নগণ্য
Trivial - অপ্রয়োজনীয়, সাধারণ
Truculent - আগ্রাসী, যুদ্ধমুখী
Turbid - মেঘলা, অস্বচ্ছ
Turbulent - উত্তেজনাপূর্ণ, বিশৃঙ্খল
Turgid - ফুলে যাওয়া, অত্যন্ত জটিল
Turpitude - নৈতিক পতন, ঘৃণ্যতা

