Cacophonous - কর্কশ, বেসুরো
Cajole - মিষ্টি কথায় প্রলুব্ধ করা, ভোলানো
Calamitous - বিপর্যয়কর, ধ্বংসাত্মক
Callous - অমানবিক, নিষ্ঠুর
Callow - অপরিণত, অনভিজ্ঞ
Calumny - কুৎসা, অপবাদ
Candid - অকপট, সরল
Canny - বিচক্ষণ, চতুর
Canonize - পবিত্র ঘোষণা করা, মহিমান্বিত করা
Capitulate - আত্মসমর্পণ করা, শর্ত স্বীকার করা
Capricious - খামখেয়ালি, অনির্ভরযোগ্য
Captious - ছিদ্রান্বেষী, ত্রুটিসন্ধানী
Caricature - ব্যঙ্গচিত্র, বিকৃত রূপ
Castigate - তিরস্কার করা, কঠোর সমালোচনা করা
Cataclysmic - বিপর্যয়কর, বিপুল পরিবর্তনমূলক
Catastrophic - দুর্যোগপূর্ণ, বিধ্বংসী
Cathartic - শোধক, বিশোধনমূলক
Caustic - তীব্রভাবে ব্যঙ্গাত্মক, দাহ্য
Cavalier - ঔদ্ধত্যপূর্ণ, অহঙ্কারী
Cease - বন্ধ করা, থামানো
Censor - সেন্সর করা, নিষিদ্ধ করা
Censure - নিন্দা, সমালোচনা
Cerebral - মস্তিষ্কসংক্রান্ত, বুদ্ধিবৃত্তিক
Chagrin - বিরক্তি, অপমান
Champion - সমর্থন করা, পৃষ্ঠপোষকতা করা
Chary - সতর্ক, সাবধানী
Chastise - শাস্তি দেওয়া, কঠোরভাবে সমালোচনা করা
Chauvinistic - উগ্র জাতীয়তাবাদী, অতিরিক্ত দেশপ্রেমী
Cherish - লালন করা, মমতা করা
Chicanery - কৌশল, প্রতারণা
Chivalrous - বীরত্বপূর্ণ, নারীদের প্রতি সৌজন্যমূলক
Churlish - অভদ্র, রূক্ষ
Circumscribe - সীমাবদ্ধ করা, বেষ্টিত করা
Circumspect - সতর্ক, চিন্তাশীল
Circumstantial - আপাতদৃষ্টিতে গুরুত্বপূর্ণ, পরিস্থিতিসাপেক্ষ
Clamorous - গোলমালপূর্ণ, হৈচৈপূর্ণ
Clandestine - গুপ্ত, গোপন
Clangor - ঝনঝন শব্দ, উচ্চশব্দ
Cloak - আচ্ছাদিত করা, গোপন করা
Cloying - অতি মিষ্টি, বেমানানভাবে আবেগপূর্ণ
Cluster - গুচ্ছ, ঝাঁক
Coalesce - মিলিত হওয়া, একত্রিত হওয়া
Coddle - অতিরিক্ত যত্ন করা, আদর করা
Coercion - জোরপূর্বক বাধ্য করা, বলপ্রয়োগ
Cogent - জোরালো, অকাট্য
Cogitate - চিন্তা করা, ভাবা
Coherent - সংগতিপূর্ণ, সুসংবদ্ধ
Coin - শব্দ সৃষ্টি করা, নতুন করে বলা
Collaborate - সহযোগিতা করা, মিলিতভাবে কাজ করা
Collude - ষড়যন্ত্র করা, গোপন চুক্তি করা
Comity - সৌজন্য, শালীনতা
Commence - শুরু করা, প্রারম্ভ করা
Commensurate - অনুপাতে, সমানুপাতে
Commiserate - সহানুভূতি জানানো, সমব্যথী হওয়া
Compelling - প্ররোচিত করা, আকর্ষণীয়
Competent - দক্ষ, যোগ্য
Complacent - আত্মসন্তুষ্ট, আত্মতৃপ্ত
Complementary - পরিপূরক, সম্পূরক
Comply - মেনে চলা, সমর্থন করা
Compound - মিশ্রণ, যোগ করা
Compromise - সমঝোতা করা, আপস করা
Conciliatory - সমন্বয়মূলক, মীমাংসাপূর্ণ
Conclusive - চূড়ান্ত, প্রমাণসাপেক্ষ
Condone - ক্ষমা করা, উপেক্ষা করা
Conducive - সহায়ক, অনুকূল
