Macabre - ভয়াবহ, মৃত্যুর সাথে সম্পর্কিত
Magisterial - প্রভুত্বপূর্ণ, উচ্চপদস্থ
Magnanimous - উদার, মহান হৃদয়সম্পন্ন
Makeshift - অস্থায়ী, প্রয়োজনীয়তার জন্য তৈরি
Malevolent - দূরভিসন্ধিমূলক, ক্ষতিকর
Malfeasance - অপরাধমূলক কাজ, দুর্নীতি
Malign - মন্দনাম করা, কুৎসা রটানো
Malleable - নমনীয়, পরিবর্তনশীল
Manacle - হাতকড়া, শৃঙ্খল
Manifest - স্পষ্ট, প্রকাশ্য
Marginalize - অবহেলা করা, গুরুত্বপূর্ণতা হ্রাস করা
Martinet - কঠোর নিয়ম অনুসারী, বিধি-নিষেধ প্রয়োগকারী
Mawkish - অতিরিক্ত মিষ্টি, অত্যধিক আবেগপ্রবণ
Mediate - মধ্যস্থতা করা, সমঝোতা করা
Mendacity - মিথ্যাচার, অসত্য
Mercenary - অর্থের জন্য কাজ করা, লোভী
Mercurial - পরিবর্তনশীল, অস্থির
Meritorious - প্রশংসনীয়, গুণময়
Metaphorical - রূপক, অর্থবহ
Meticulous - অত্যন্ত যত্নবান, পরিশীলিত
Mettlesome - সাহসী, সাহসিকতায় পূর্ণ
Mimic - নকল করা, অনুকরণ করা
Minute - অত্যন্ত ছোট, নিখুঁত
Misanthropic - মানুষ বিরোধী, মানবজাতির প্রতি বিরূপ
Miscreant - দুষ্কৃতকারী, খারাপ লোক
Miserly - কৃপণ, স্বার্থপর
Misnomer - ভুল নামকরণ, ভুল শব্দ ব্যবহার
Mitigate - হ্রাস করা, প্রশমিত করা
Modest - নম্র, লাজুক
Modish - আধুনিক, ফ্যাশনেবল
Mollify - প্রশমিত করা, শান্ত করা
Momentary - ক্ষণস্থায়ী, সাময়িক
Monotonous - একঘেয়ে, বিরক্তিকর
Mordant - তীক্ষ্ণ, ব্যঙ্গাত্মক
Morose - বিষণ্ণ, অন্ধকার
Mountain - পর্বত
Multifaceted - বহু-অঙ্গবিশিষ্ট, বিভিন্ন দিকের
Mundane - দৈনন্দিন, সাধারণ
Munificent - মহৎ, দানশীল
Mutiny - বিদ্রোহ, উত্থান
Myopic - স্বল্পদৃষ্টি, দূরদর্শীতা অভাব
