Fabricate - গড়া, নির্মাণ করা
Facetious - রসিকতাপূর্ণ, ঠাট্টা-মশকরায় অভ্যস্ত
Facility - সুবিধা, সহজতা
Factious - বিরোধী, দলাদলি প্রিয়
Fallacious - ভ্রান্তিপূর্ণ, মিথ্যা
Fallible - ভ্রমপ্রবণ, ভুল করার সক্ষম
Fallow - পতিত, অনাবাদী
Falter - দ্বিধাগ্রস্ত হওয়া, কাঁপা
Fanciful - কল্পনাপ্রবণ, অবাস্তব
Fastidious - খুঁতখুঁতে, কঠোরভাবে নির্ভুল
Fathom - গভীরতা মাপা, অনুধাবন করা
Fawn - চাটুকারিতা করা, তোষামোদ করা
Feasible - কার্যকর, সম্ভাব্য
Feckless - নিরর্থক, অদক্ষ
Fecund - উর্বর, ফলপ্রসূ
Feeble - দুর্বল, ক্ষীণ
Feign - ভান করা, মিথ্যা করা
Feint - ভান, কৌশল
Felicitous - উপযুক্ত, আনন্দদায়ক
Fervent - উদ্দীপ্ত, আন্তরিক
Fervid - তপ্ত, উত্সাহী
Fervor - উত্সাহ, উত্তাপ
Fester - পচা, ক্ষত তৈরি হওয়া
Fickle - চঞ্চল, অস্থিরমতি
Figurative - রূপক, প্রতীকী
Finicky - খুঁতখুঁতে, অতিরিক্ত নির্ভুল
Fitful - খাপছাড়া, অনিয়মিত
Flagrant - স্পষ্ট, প্রকট
Flamboyant - আড়ম্বরপূর্ণ, উজ্জ্বল
Fledgling - নবীন, অনভিজ্ঞ
Florid - চটকদার, রক্তিম
Flout - উপেক্ষা করা, উপহাস করা
Flummoxed - হতবুদ্ধি, বিহ্বল
Flustered - ঘাবড়ে যাওয়া, বিভ্রান্ত
Foil - প্রতিহত করা, প্রতিরোধ করা
Foment - উদ্দীপিত করা, উসকানি দেওয়া
Foolhardy - অবিবেচক, মূর্খতা করে সাহসী
Forbear - সহ্য করা, বিরত থাকা
Forebode - পূর্বাভাস দেওয়া, অশুভ লক্ষণ দেখানো
Foreseeable - অনুমানযোগ্য, পূর্বাভাসযোগ্য
Forestall - প্রতিহত করা, আগাম প্রতিরোধ করা
Forgo - ত্যাগ করা, পরিত্যাগ করা
Forsake - পরিত্যাগ করা, ত্যাগ করা
Fortitude - দৃঢ়তা, সহিষ্ণুতা
Fortuitous - আকস্মিক, দৈব
Fractious - খিটখিটে, ঝগড়াটে
Frailty - দুর্বলতা, ভঙ্গুরতা
Frank - স্পষ্টবাদী, খোলামেলা
Fraught - পূর্ণ, সংকটপূর্ণ
Frenetic - উন্মত্ত, প্রচণ্ড উত্সাহী
Fret - উদ্বিগ্ন হওয়া, দুশ্চিন্তা করা
Fringe - প্রান্ত, সীমান্ত
Frivolous - তুচ্ছ, গম্ভীর নয়
From - থেকে
Fruitful - ফলপ্রসূ, লাভজনক
Fulcrum - ভিত্তি, ভারসাম্য বিন্দু
Fungible - পরিবর্তনযোগ্য, বিনিময়যোগ্য
Furtive - গোপন, চুপিসারে
Futile - নিষ্ফল, ব্যর্থ
