Ebullient - প্রফুল্ল, উচ্ছ্বাসিত
Eccentric - অদ্ভুত, খামখেয়ালী
Echelon - স্তর, পদবী
Eclectic - বাছাই করা, নানা রুচির মিশ্রণ
Eclipse - গ্রহণ, ম্লান করা
Encompassing - পরিবেষ্টিত, অন্তর্ভুক্ত করা
Economy - অর্থনীতি, মিতব্যয়িতা
Edify - নৈতিকভাবে শিক্ষিত করা
Efficacious - কার্যকর, ফলপ্রদ
Effrontery - নির্লজ্জতা, ধৃষ্টতা
Egalitarian - সমঅধিকারবাদী, সমানাধিকারী
Egregious - গুরুতর, মারাত্মক
Elaborate - বিস্তারিত, ব্যাখ্যামূলক
Elated - আনন্দিত, উল্লসিত
Elementary - প্রাথমিক, মৌলিক
Elicit - উদ্ঘাটন করা, টেনে বের করা
Elitist - অভিজাততন্ত্র, শ্রেষ্ঠত্ববাদী
Eloquent - বাকপটু, শাণিত ভাষী
Elucidate - ব্যাখ্যা করা, পরিষ্কার করা
Elusive - অধরা, দুর্বোধ্য
Embellish - অলংকৃত করা, সজ্জিত করা
Empathetic - সহানুভূতিশীল, অন্যের অনুভূতি অনুধাবনকারী
Empirical - অভিজ্ঞতাজনিত, পরীক্ষালব্ধ
Emulate - অনুকরণ করা, প্রতিযোগিতা করা
Enchant - মুগ্ধ করা, বিমোহিত করা
Encroach - অনধিকার প্রবেশ করা, সীমালঙ্ঘন করা
Encyclopedic - বিশদ জ্ঞানসম্পন্ন, বিশ্বকোষতুল্য
Endemic - স্থানীয়, নির্দিষ্ট অঞ্চলে সীমাবদ্ধ
Endow - দান করা, প্রদান করা
Enervate - দুর্বল করা, শক্তিহীন করা
Engender - জন্ম দেত্তয়া, উৎপন্ন করা
Enigmatic - রহস্যময়, দুর্বোধ্য
Enmity - বৈরিতা, শত্রুতা
Ennui - উদাসীনতা, একঘেয়েমি
Ensue - পরিণতি হওয়া, ফলস্বরূপ হওয়া
Enthrall - মুগ্ধ করা, মোহিত করা
Entitled - অধিকারের যোগ্য, শিরোনামপ্রাপ্ত
Entreat - অনুরোধ করা, মিনতি করা
Entrenched - প্রতিষ্ঠিত, দৃঢ়মূল
Ephemeral - ক্ষণস্থায়ী, অস্থায়ী
Equanimity - মানসিক স্থৈর্য, সমমনা অবস্থা
Equitable - ন্যায্য, সমতামূলক
Equivocate - দ্ব্যর্থক কথা বলা, প্রতারণামূলকভাবে বলা
Eradicate - নির্মূল করা, উচ্ছেদ করা
Erratic - অনিয়মিত, অস্থির
Erstwhile - পূর্ববর্তী, প্রাক্তন
Erudite - পাণ্ডিত্যময়, জ্ঞানী
Escalate - বৃদ্ধি পাওয়া, তীব্রতর হওয়া
Eschew - পরিহার করা, এড়িয়ে চলা
Esoteric - রহস্যময়, নির্দিষ্ট কিছু লোকের জন্য প্রযোজ্য
Estimable - সম্মানিত, শ্রদ্ধেয়
Estranged - বিচ্ছিন্ন, বিচ্ছেদপ্রাপ্ত
Euphemism - সুন্দরভাবে বলা, মৃদু শব্দ ব্যবহার
Euphoric - উচ্ছ্বাসিত, আনন্দিত
Evade - এড়িয়ে চলা, পাশ কাটানো
Evanescent - ক্ষণস্থায়ী, বিলীয়মান
Evasive - কৌশলী, প্রতারণামূলক
Evoke - উদ্রেক করা, স্মৃতিকে জাগিয়ে তোলা
Exacerbate - খারাপ করা, তীব্র করা
Exacting - কঠোর, দাবিদার
Exasperated - ক্রুদ্ধ, বিরক্ত
Excoriate - তীব্র সমালোচনা করা, কঠোরভাবে নিন্দা করা
Exculpate - দোষ থেকে মুক্তি দেওয়া, নির্দোষ প্রমাণ করা
Exegesis - ব্যাখ্যা, বিশ্লেষণ
Exhaustive - ব্যাপক, সম্পূর্ণ
Exhilarating - উত্তেজনাপূর্ণ, আনন্দদায়ক
Exhort - প্রণোদিত করা, উৎসাহিত করা
Exigent - জরুরি, আবশ্যক
Exonerate - মুক্তি দেওয়া, অব্যাহতি প্রদান
Exorbitant - অত্যধিক, মাত্রাতিরিক্ত
Exorcise - ভূত তাড়ানো, অপসারণ করা
Exotic - বিদেশি, অদ্ভুত
Expatiate - বিস্তারিতভাবে আলোচনা করা
Expedient - উপযুক্ত, কার্যকরী
Expedite - দ্রুত সম্পন্ন করা, তরান্বিত করা
Explicable - ব্যাখ্যাযোগ্য, বোধগম্য
Exploitative - শোষণমূলক, অন্যায়ভাবে ব্যবহার
Extemporize - তাৎক্ষণিকভাবে বক্তব্য প্রদান করা, পূর্ব প্রস্তুতি ছাড়া
Extenuating - লঘুকারক, হ্রাসকারক
Extol - প্রশংসা করা, গুণকীর্তন করা
Extraneous - বাহ্যিক, অপ্রয়োজনীয়
Extrapolate - পূর্বানুমান করা, প্রক্ষেপণ করা
Extravagant - অপব্যয়ী, অতিরিক্ত
