Daunting - ভীতিপ্রদ, ভয়ানক
Dawdle - সময় নষ্ট করা, ধীরগতিতে কাজ করা
Dearth - অভাব, সংকট
Debase - হীন করা, অবমূল্যায়ন করা
Debilitating - দুর্বলকারী, শক্তিহীনকারী
Debunk - অসত্য প্রমাণ করা, মিথ্যা উন্মোচন করা
Decadent - পতনশীল, অবক্ষয়িত
Decipher - পাঠোদ্ধার করা, ব্যাখ্যা করা
Decorum - শালীনতা, ভদ্রতা
Decry - নিন্দা করা, সমালোচনা করা
Defame - মানহানি করা, কুৎসা রটানো
Deference - সম্মান প্রদর্শন, শ্রদ্ধা
Deflect - প্রতিহত করা, বিকৃত করা
Deft - দক্ষ, নিপুণ
Deify - দেবত্ব প্রদান করা, পূজ্য করা
Deleterious - ক্ষতিকর, সর্বনাশা
Deliberate - সুচিন্তিত, ইচ্ছাকৃত
Delineate - বর্ণনা করা, রেখাচিত্র আঁকা
Delusion - বিভ্রান্তি, মিথ্যা ধারণা
Demur - আপত্তি করা, দ্বিধা করা
Denigrate - কলঙ্কিত করা, খাটো করা
Denounce - নিন্দা করা, অভিযুক্ত করা
Deportment - আচরণ, শিষ্টাচার
Depose - ক্ষমতাচ্যুত করা, সপথে সাক্ষ্য দেওয়া
Depravity - অসৎ চরিত্র, দুশ্চরিত্রতা
Deprecate - প্রতিবাদ করা, বিরোধিতা করা
Deride - উপহাস করা, ঠাট্টা করা
Derivative - উদ্ভূত, অমৌলিক
Desiccate - শুষ্ক করা, শুকিয়ে ফেলা
Despotic - স্বৈরাচারী, অত্যাচারী
Desultory - এলোমেলো, অসংলগ্ন
Detente - উত্তেজনা হ্রাস, শান্তি স্থাপন
Deter - নিরুৎসাহিত করা, বাধা দেওয়া
Detract - খর্ব করা, হ্রাস করা
Detrimental - ক্ষতিকর, অপকারী
Deviate - বিপথগামী হওয়া, বিচ্যুত হওয়া
Devious - প্রতারণাপূর্ণ, কৌশলী
Dexterous - দক্ষ, নিপুণ
Diatribe - তীব্র সমালোচনা, তিরস্কারপূর্ণ ভাষণ
Dichotomy - দ্বৈততা, দ্বিধাবিভক্তি
Dictate - নির্দেশ দেওয়া, আদেশ করা
Dictum - নীতিবাক্য, নির্দেশ
Didactic - শিক্ষামূলক, নীতিকথন
Diffident - আত্মবিশ্বাসহীন, সংকোচযুক্ত
Diffuse - ছড়িয়ে দেওয়া, বিস্তার করা
Digression - অবান্তরতা, প্রসঙ্গান্তরে যাওয়া
Dilatory - বিলম্বিত, কালক্ষেপণকারী
Dilettante - অপটু, শখের শিল্পী
Diminutive - ক্ষুদ্র, ছোটো
Dirge - শোকগীতি, শোকসঙ্গীত
Discernible - বোধ্য, উপলব্ধিযোগ্য
Disciple - শিষ্য, অনুগামী
Discomfit - বিপর্যস্ত করা, বিভ্রান্ত করা
Disconcerting - বিভ্রান্তিকর, অস্বস্তিকর
Discount - উপেক্ষা করা, গুরুত্বহীন ভাবা
Discreet - বিচক্ষণ, সতর্ক
Discrepancy - পার্থক্য, অসামঞ্জস্য
Disdain - অবজ্ঞা, তাচ্ছিল্য
Disentangle - সাফসুতরো করা, জটমুক্ত করা
Disingenuous - কপট, অসত
Disinterested - নিরপেক্ষ, উদাসীন
Dismantle - খুলে ফেলা, ধ্বংস করা
Disparate - বৈচিত্র্যময়, অসামঞ্জস্যপূর্ণ
Dispense - বিতরণ করা, প্রদান করা
Disperse - ছড়িয়ে দেওয়া, ছিটিয়ে দেওয়া
Dissemble - ছদ্মবেশ ধারণ করা, গোপন করা
Disseminate - প্রচার করা, ছড়িয়ে দেওয়া
Dissent - ভিন্নমত, মতবিরোধ
Dissident - ভিন্নমতাবলম্বী, প্রতিবাদী
Distend - স্ফীত করা, ফোলানো
Distill - পাতন করা, সংক্ষেপ করা
Distort - বিকৃত করা, বক্র করা
Distressed - সংকটাপন্ন, দুঃখিত
Divergent - ভিন্নমুখী, আলাদা
Divorced - বিচ্ছিন্ন, আলাদা
Divulge - প্রকাশ করা, ফাঁস করা
Doctrinaire - মতবাদী, কঠোরভাবে নীতির পক্ষে
Documentary - তথ্যচিত্র, প্রামাণিক
Dogged - দৃঢ়প্রতিজ্ঞ, একগুঁয়ে
Dogmatic - মতবাদী, গোঁড়া
Dormant - সুপ্ত, নিস্তব্ধ
Dowdy - অস্বাভাবিক, বেমানান
Draconian - অত্যন্ত কঠোর, নিষ্ঠুর
Droll - হাস্যকর, মজাদার
Dubious - সন্দেহজনক, অনিশ্চিত
Dupe - প্রতারিত করা, ঠকানো
Duplicitous - প্রতারণাপূর্ণ, দ্বিমুখী
Duress - জোরপূর্বক, চাপ
Dutiful - কর্তব্যপরায়ণ, অনুগত
Dwindling - ক্রমহ্রাসমান, ক্ষয়প্রাপ্ত
