Banal - গতানুগতিক, মামুলি
Banish - নির্বাসিত করা, বহিষ্কার করা
Baroque - অলংকৃত, চিত্র-বিচিত্র
Barrage - গোলা বর্ষণ, প্রবল সমালোচনা
Barren - বন্ধ্যা, অনুর্বর
Base - নীচু, শোষণমূলক
Bawdy - অশ্লীল, অশিষ্ট
Befuddled - বিভ্রান্ত, হতবুদ্ধি
Beguile - মুগ্ধ করা, প্রলুব্ধ করা
Beholden - ঋণী, কৃতজ্ঞ
Belie - মিথ্যা প্রতিপন্ন করা, ভ্রান্ত ধারণা দেওয়া
Belittle - তুচ্ছজ্ঞান করা, খাটো করা
Belligerent - যুদ্ধংদেহী, আক্রমণাত্মক
Benchmark - মানদণ্ড, মাপকাঠি
Beneficent - কল্যাণকর, সদয়
Benevolent - উদার, দয়ালু
Benign - সদয়, অনুকূল
Berate - কঠোরভাবে তিরস্কার করা
Bereft - বঞ্চিত, শূন্য
Betray - বিশ্বাসঘাতকতা করা, প্রতারণা করা
Blighted - ক্ষতিগ্রস্ত, ধ্বংসপ্রাপ্ত
Blithe - আনন্দিত, উল্লসিত
Bogus - ভুয়া, মিথ্যা
Boisterous - হইচইপূর্ণ, চঞ্চল
Bolster - সমর্থন করা, শক্তিশালী করা
Bombastic - বাগাড়ম্বরপূর্ণ, জাঁকজমকপূর্ণ
Boon - আশীর্বাদ, সুবিধা
Boorish - অভদ্র, অসভ্য
Bravado - বাহাদুরি, দম্ভপূর্ণ সাহসিকতা
Brazen - নির্লজ্জ, সাহসী
Brevity - সংক্ষিপ্ততা, ক্ষণকালীনতা
Bridle - সংযম করা, নিয়ন্ত্রণ করা
Bromide - গতানুগতিক মন্তব্য, বিরক্তিকর কথা
Brook - সহ্য করা, মেনে নেওয়া
Bucolic - গ্রামীণ, মনোরম
Buoyant - প্রাণোচ্ছল, ভাসমান
Burgeon - দ্রুত বৃদ্ধি পাওয়া, বিকশিত হওয়া
Burnish - পালিশ করা, মসৃণ করা
Buttress - সমর্থন, দৃঢ়করণ
Byzantine - জটিল, কুটিল
