Obdurate - কঠোর, নিষ্ঠুর
Obeisance - শ্রদ্ধার্ঘ্য, সম্মান প্রদর্শন
Obfuscate - অস্পষ্ট করা, জটিল করা
Objurgation - তিরস্কার, সমালোচনা
Oblivious - অবহেলাকারী, অজ্ঞ
Obscure - অস্পষ্ট, অজ্ঞাত
Obsequious - অতিরিক্ত নম্র, প্রলুব্ধকর
Obsolete - পুরনো, অপ্রচলিত
Obstinate - একগুঁয়ে, ঋষক
Obstreperous - বিশৃঙ্খল, অসহ্য
Obviate - প্রতিরোধ করা, এড়ানো
Occlude - বন্ধ করা, আচ্ছাদিত করা
Odious - ঘৃণ্য, অপ্রীতিকর
Officious - অতিরিক্ত উদ্যোগী, জবরদস্তি
Ominous - অশুভ, সংকেতপূর্ণ
Omit - বাদ দেওয়া, উপেক্ষা করা
Omnipresent - সর্বব্যাপী, সর্বত্র উপস্থিত
Omniscient - সর্বজ্ঞ, সবকিছু জানে এমন
Onerous - কঠিন, দায়বদ্ধ
Onetime - এককালে, পূর্ববর্তী
Opaque - অস্বচ্ছ, গোপন
Opportunistic - সুযোগবাদী, সুবিধাবাদী
Opprobrium - নিন্দা, অপবাদ
Ornate - সাজানো, অলংকৃত
Ossify - শক্ত হয়ে যাওয়া, অস্থি হয়ে যাওয়া
Ostentatious - প্রদর্শনমূলক, শোঅফ করা
Oust - উৎখাত করা, সরানো
Outlandish - অদ্ভুত, অস্বাভাবিক
Outstrip - অতিক্রম করা, ছাড়িয়ে যাওয়া
Overt - প্রকাশ্য, স্পষ্ট
