Ubiquitous - সর্বত্র উপস্থিত, সর্বব্যাপী
Ulterior - গোপন উদ্দেশ্য, পিছনের
Umbrage - রাগ, ক্ষোভ
Unadorned - অলংকারহীন, সাদাসিধা
Unalloyed - বিশুদ্ধ, অশুদ্ধিগ্রস্ত নয়
Undercut - নিচু মূল্যে বিক্রি করা, ক্ষতি করা
Undermine - নষ্ট করা, দুর্বল করা
Underscore - জোর দেওয়া, গুরুত্ব দেওয়া
Understated - অল্প করে বলা, কম করে প্রকাশ করা
Universal - সর্বজনীন, সর্বত্র প্রযোজ্য
Unprecedented - অদ্বিতীয়, আগে কখনো দেখা যায়নি
Unravel - উন্মোচন করা, সমাধান করা
Unscrupulous - নৈতিকতা বা সততার অভাব, অসৎ
Unseemly - অযথাযথ, অশোভন
Upbraid - তিরস্কার করা, নিন্দা করা
Urbane - সংস্কৃত, শহুরে সৌজন্যপূর্ণ
Utilitarian - ব্যবহারিক, কার্যকরী
Utterly - সম্পূর্ণভাবে, পুরোপুরি
