Radical - মৌলিক, গায়নবাদী
Raillery - হাস্যরস, মজার কথাবার্তা
Ramble - বিশৃঙ্খলভাবে ঘোরাফেরা করা, এলোমেলো কথা বলা
Ramification - ফলস্বরূপ প্রভাব, বিভক্তি
Rampant - অতি বিস্তারপ্রাপ্ত, নিয়ন্ত্রণহীন
Rapacious - লোভী, অত্যন্ত হিংস্র
Rational - যুক্তিসঙ্গত, বুদ্ধিমত্তা সম্পন্ন
Ravage - ব্যাপক ধ্বংস করা, লুণ্ঠন করা
Recant - প্রত্যাহার করা, স্বীকার না করা
Recapitulate - সারাংশ দেওয়া, পুনরুল্লেখ করা
Recluse - একাকী, নির্জনবাসী
Reconcile - মীমাংসা করা, সুমহান করা
Recondite - গভীর, জটিল
Recourse - আশ্রয়, সায়
Recrudescent - পুনরায় উদীয়মান, পুনরুজ্জীবিত
Redoubtable - ভয়ঙ্কর, প্রশংসনীয়
Redundant - অতিরিক্ত, অপ্রয়োজনীয়
Refine - পরিশুদ্ধ করা, উন্নত করা
Reflect - প্রতিফলিত করা, চিন্তা করা
Refute - খণ্ডন করা, অস্বীকার করা
Regress - পিছিয়ে পড়া, পেছনে যাওয়া
Reiterate - পুনরাবৃত্তি করা, আবার বলা
Relegate - নি¤েœন স্থানে রাখা, অধস্তন করা
Relent - নমনীয় হওয়া, লঘু করা
Relinquish - পরিত্যাগ করা, ছেড়ে দেওয়া
Relish - উপভোগ করা, প্রশংসা করা
Remarkable - চমকপ্রদ, অসাধারণ
Remedial - চিকিৎসা সম্পর্কিত, সমাধানমূলক
Remote - দূরবর্তী, অলস
Remuneration - বেতন, পারিশ্রমিক
Render - প্রদান করা, অনুবাদ করা
Renege - অস্বীকার করা, প্রতিশ্রুতি ভঙ্গ করা
Renounce - পরিত্যাগ করা, স্বীকার না করা
Repercussion - প্রতিক্রিয়া, ফলস্বরূপ প্রভাব
Repertoire - একটি শিল্পীর সম্পদ, প্রকৃতি
Replenish - পূর্ণ করা, পুনরায় সরবরাহ করা
Reproach - দোষারোপ করা, নিন্দা করা
Reprobate - নিন্দিত ব্যক্তি, খারাপ আচরণকারী
Repudiate - প্রত্যাখ্যান করা, অস্বীকার করা
Repugnant - ঘৃণাজনক, বিরক্তিকর
Resent - ক্ষুব্ধ হওয়া, বিরক্ত হওয়া
Residual - অবশিষ্ট, বাকি
Resilient - প্রতিরোধী, স্থিতিস্থাপক
Resolute - দৃঢ়প্রতিজ্ঞ, অটল
Resolve - সমাধান করা, সংকল্প করা
Resourceful - দক্ষ, সমাধানপন্থী
Restive - অস্থির, কষ্টকর
Retaliate - প্রতিশোধ নেওয়া, প্রতিদান দেওয়া
Reticent - অবশ, লাজুক
Retiring - লাজুক, নিজেকে গুটিয়ে নেওয়া
Retrench - কাটছাঁট করা, খরচ কমানো
Rhapsody - উচ্ছ্বাস, উল্লাসপূর্ণ ভাষণ
Rhetoric - ভাষণশৈলী, বক্তৃতার দক্ষতা
Rigor - কঠোরতা, নিরপেক্ষতা
Robust - শক্তিশালী, দৃঢ়
Rudimentary - প্রাথমিক, মৌলিক
Ruminate - চিন্তা করা, ভাবনা করা
