Sacrosanct - পবিত্র, অপরিবর্তনীয়
Sadistic - বর্বর, অন্যের কষ্টে আনন্দ উপভোগকারী
Sagacious - প্রজ্ঞাবান, বিচক্ষণ
Salubrious - স্বাস্থ্যকর, সুস্থকর
Salutary - উপকারী, স্বাস্থ্যকর
Sanctimonious - ধর্মভীরু, নৈতিকভাবে নিজেকে উন্নত মনে করা
Sanction - অনুমোদন, শাস্তি
Sanguine - আশাবাদী, রক্তবর্ণ
Satirical - বিদ্রুপাত্মক, ঠাট্টা করা
Scant - কম, সীমিত
Scathing - তীব্র, কঠোর
Schism - বিভাজন, মতবিরোধ
Scintillating - ঝলমলে, উজ্জ্বল
Scorn - অবজ্ঞা, তাচ্ছিল্য
Scrupulous - সতর্ক, নীতিবান
Sedulous - পরিশ্রমী, ধৈর্যশীল
Self - আত্মা, স্বত্বা
Sensational - আকর্ষণীয়, চমকপ্রদ
Sentimental - আবেগপূর্ণ, অনুভূতিপূর্ণ
Serendipitous - আকস্মিক, সৌভাগ্যজনক
Serene - শান্ত, প্রশান্ত
Sever - কেটে ফেলা, বিচ্ছিন্ন করা
Sham - ভুয়া, প্রতারণা
Shirk - এড়ানো, অবহেলা করা
Shrewd - বুদ্ধিমান, তীক্ষ্ণ
Shrill - তীক্ষ্ণ, কটূকীর্ণ
Sinecure - অলস পদ, বেতনপ্রাপ্ত চাকরি
Sinuous - কোণাকুণি, বাঁকা
Skirt - এড়ানো, পরিবেষ্টন করা
Skittish - অস্থির, ভীত
Skullduggery - কপটতা, প্রতারণা
Slander - মানহানি, অপবাদ
Slight - তুচ্ছ, অবজ্ঞা
Slovenly - অগোছালো, অপরিচ্ছন্ন
Sluggish - ধীর, অলস
Sober - সাদামাটা, মদ্যপান মুক্ত
Soliloquy - একক বক্তৃতা, একান্ত কথোপকথন
Somnolent - ঘুমাতো, অচেতন
Sophisticated - উন্নত, জটিল
Sophistry - মিথ্যাচার, কূটকৌশল
Soporific - ঘুম পাড়ানো, অস্থির
Sordid - নোংরা, ঘৃণ্য
Sound - সঠিক, উপযুক্ত
Sparse - কম, বিরল
Spartan - সাধারণ, কঠোর জীবনধারায় অভ্যস্ত
Specious - মিথ্যা, প্রলোভনমূলক
Speculate - অনুমান করা, ভাবনা করা
Spendthrift - ফুঁক মেরে টাকা খরচকারী, বিলাসী
Sporadic - ছিন্নভিন্ন, বিচ্ছিন্ন
Spurious - ভুয়া, মিথ্যা
Spurn - প্রত্যাখ্যান করা, তুচ্ছ করা
Squander - অপচয় করা, অযথা খরচ করা
Staid - গম্ভীর, মনোযোগী
Stalwart - শক্তিশালী, দৃঢ়
Stanch - বন্ধ করা, থামানো
Steadfast - দৃঢ়, অটল
Stem - উৎস, রোধ করা
Stern - কঠোর, কঠিন
Stigmatize - কলঙ্কিত করা, দোষারোপ করা
Stinting - অপচয় বা সীমাবদ্ধতা, অল্প প্রদান করা
Stoic - ধৈর্যশীল, অনুভূতির অভাব
Stolid - নিরুত্তাপ, অনুভূতি বিচ্ছিন্ন
Strife - সংঘাত, বিরোধ
Stringent - কঠোর, কঠিন
Subdued - শান্ত, নিয়ন্ত্রণে রাখা
Subjective - ব্যক্তিগত, অভ্যন্তরীণ
Subordinate - অধস্তন, ন্যস্ত
Subservient - সাহায্যকারী, অধীনস্থ
Subside - কমে যাওয়া, থেমে যাওয়া
Substantiate - প্রমাণিত করা, সত্যায়িত করা
Subsume - অন্তর্ভুক্ত করা, যুক্ত করা
Subtle - সূক্ষ্ম, কৌশলপূর্ণ
Subvert - ধ্বংস করা, বিপর্যস্ত করা
Superficial - পৃষ্ঠতলগত, অগভীর
Superfluous - অতিরিক্ত, অপ্রয়োজনীয়
Supersede - প্রতিস্থাপন করা, স্থানান্তর করা
Supplant - উৎখাত করা, প্রতিস্থাপন করা
Supple - নমনীয়, সুশৃঙ্খল
Supplicate - প্রার্থনা করা, অনুরোধ করা
Suppress - দমন করা, থামানো
Surfeit - অতিরিক্ত, অতিশয়
Surmount - অতিক্রম করা, উত্তরণ করা
Surreptitious - গোপন, সুকৌশলে করা
Surrogate - প্রতিনিধি, বিকল্প
Suspect - সন্দেহ করা, সন্দেহজনক
Swindle - প্রতারণা, ধোকা
Synoptic - সারাংশমূলক, সংক্ষিপ্ত
