Abate - কমানো, প্রশমিত করা
Aberrant - বিপথগামী, অস্বাভাবিক
Abet - সহায়তা করা, উসকানি দেওয়া
Abeyance - সাময়িক স্থগিতাবস্থা
Abhor - ঘৃণা করা, বিতৃষ্ণা করা
Abide - পালন করা, অবস্থান করা
Abject - শোচনীয়, হতাশাজনক
Abjure - ত্যাগ করা, পরিত্যাগ করা
Abound - প্রচুর পরিমাণে থাকা, পূর্ণ থাকা
Abrasive - ক্ষয়কারী, কটু
Abreast - পাশাপাশি, সমানভাবে
Abrogate - বাতিল করা, রহিত করা
Abscond - পলায়ন করা, গা ঢাকা দেওয়া
Abstain - বিরত থাকা, সংযম করা
Abstract - বিমূর্ত, সংক্ষিপ্তসার
Abstruse - দুর্বোধ্য, জটিল
Accentuate - গুরুত্ব দেওয়া, জোর দেওয়া
Accessible - প্রবেশযোগ্য, সহজলভ্য
Acclaim - প্রশংসা করা, স্বীকৃতি দেওয়া
Accord - মিল, একমত হওয়া
Acolyte - সহকারী, অনুগামী
Acquiesce - সম্মতি দেওয়া, মেনে নেওয়া
Acquisitive - অধিকারপ্রবণ, লোভী
Acrimonious - তিক্ত, কটু
Acumen - তীক্ষ্ণতা, প্রখর বুদ্ধি
Adept - দক্ষ, কুশলী
Adhere - লেগে থাকা, মেনে চলা
Admonish - সতর্ক করা, উপদেশ দেওয়া
Adroit - দক্ষ, নিপুণ
Adulterate - ভেজাল মেশানো, বিশুদ্ধতা নষ্ট করা
Adverse - প্রতিকূল, ক্ষতিকর
Advocate - সমর্থন করা, প্রচারক
Aesthetic - নান্দনিক, সৌন্দর্য সংক্রান্ত
Affectation - ভান, আড়ম্বর
Affinity - সাদৃশ্য, সম্পর্ক
Affluent - সমৃদ্ধ, বিত্তশালী
Affront - অপমান করা, সম্মুখীন হওয়া
Aggrandize - বাড়ানো, প্রসারিত করা
Aghast - হতবাক, ভীত
Agitate - উত্তেজিত করা, আন্দোলিত করা
Alacrity - দ্রুততা, উদ্যম
Alienate - বিচ্ছিন্ন করা, দূরে সরিয়ে রাখা
Allegorical - রূপকধর্মী, প্রতীকী
Alleviate - উপশম করা, লাঘব করা
Allude - ইঙ্গিত করা, উল্লেখ করা
Allusive - ইঙ্গিতপূর্ণ, প্রতীকী
Aloof - দূরত্ব বজায় রাখা, নির্লিপ্ত
Altruistic - পরার্থপর, পরোপকারী
Amalgamate - সংযুক্ত করা, মিশ্রিত করা
Ambivalent - দ্বিমুখী, দ্বিধাগ্রস্ত
Ameliorate - উন্নতি করা, সংশোধন করা
Amenable - অনুকূল, বাধ্য
Amend - সংশোধন করা, পরিবর্তন করা
Amicable - বন্ধুত্বপূর্ণ, সদাচারী
Amorphous - নিরাকার, অস্পষ্ট
Amplify - বর্ধিত করা, বিস্তৃত করা
Anachronistic - কালভ্রমমূলক, সময়চ্যুত
Analogous - সাদৃশ্যপূর্ণ, অনুরূপ
Animosity - বৈরিতা, বিদ্বেষ
Animus - শত্রুতা, বিদ্বেষ
Anoint - অভিষেক করা, তেল মাখানো
Anomalous - ব্যতিক্রমী, অস্বাভাবিক
Antagonize - বিরুদ্ধাচরণ করা, বিরূপ করা
Antedate - পূর্ববর্তী হওয়া, আগের তারিখ দেওয়া
Antipathy - বিরাগ, বিদ্বেষ
Antithesis - বিপরীত, বৈপরীত্য
Apathy - উদাসীনতা, অনাগ্রহ
Aphorism - প্রবচন, নীতিবাক্য
Aplomb - আত্মবিশ্বাস, স্থিরতা
Apogee - চূড়ান্ত, শীর্ষবিন্দু
Apologist - পক্ষসমর্থক, প্রতিরক্ষাকারী
Appease - শান্ত করা, তুষ্ট করা
Apposite - যথাযথ, প্রাসঙ্গিক
Apprehension - আশঙ্কা, গ্রেপ্তার
Apprise - অবহিত করা, জানান
Approbation - অনুমোদন, প্রশংসা
Appropriate - উপযুক্ত, দখল করা
Apropos - প্রাসঙ্গিক, উপযুক্ত সময়ে
Apt - প্রবণ, যথাযথ
Arbitrary - খেয়ালিপ্রসূত, ইচ্ছামত
Arcane - রহস্যময়, গোপনীয়
Archaic - প্রাচীন, অপ্রচলিত
Archetype - মূল মডেল, আদিরূপ
Ardent - উদ্দীপ্ত, উচ্ছ্বসিত
Arduous - কঠিন, শ্রমসাধ্য
Arresting - দৃষ্টি আকর্ষণকারী, আকর্ষণীয়
Artful - চতুর, কৌশলী
Articulate - স্পষ্টভাবে প্রকাশ করা, যুক্তিসংগত
Artless - সহজ-সরল, প্রতারণামুক্ত
Ascertain - নিশ্চিত করা, নির্ধারণ করা
Ascetic - তপস্বী, কঠোর জীবনযাপনে অভ্যস্ত
Ascribe - আরোপ করা, দায়ী করা
Aspersion - কলঙ্ক, নিন্দা
Assail - আক্রমণ করা, তীব্র সমালোচনা করা
Assertive - আত্মবিশ্বাসী, দৃঢ়প্রতিজ্ঞ
Assuage - প্রশমিত করা, উপশম করা
Astringent - কষাটে, কঠোর
Astute - চতুর, প্রখর
Attenuate - দুর্বল করা, হ্রাস করা
Attribute - বৈশিষ্ট্য, গুণ
Audacious - দুঃসাহসী, নির্ভীক
Augment - বৃদ্ধি করা, সম্প্রসারিত করা
August - মহিমান্বিত, শ্রদ্ধেয়
Auspicious - মঙ্গলজনক, শুভলক্ষণযুক্ত
Austere - কঠোর, অনাড়ম্বর
Auxiliary - সহায়ক, আনুষঙ্গিক
Avaricious - লোভী, অর্থপিপাসু
Aver - জোর দিয়ে বলা, নিশ্চিতভাবে বলা
Aversion - বিরাগ, বিতৃষ্ণা
Avert - প্রতিরোধ করা, অন্য দিকে ঘুরানো
Avid - আগ্রহী, উদগ্রীব
Axiomatic - স্বতঃসিদ্ধ, প্রত্যয়যুক্ত
